B_cell,AML,AML,T_cell,AML,B_cell,B_cell,B_cell,AML,B_cell,B_cell,AML,B_cell,B_cell,B_cell,B_cell,B_cell,AML,T_cell,AML,T_cell,B_cell,AML,B_cell,AML,B_cell,AML,T_cell,AML,AML,AML,B_cell,B_cell,B_cell,B_cell,B_cell
-39.0,2745.0,3168.0,254.0,10737.0,-124.0,76.0,375.0,17863.0,394.0,107.0,2460.0,-304.0,-86.0,-247.0,68.0,-102.0,123.0,2090.0,2103.0,1168.0,-229.0,1537.0,303.0,1661.0,49.0,24178.0,336.0,19680.0,12735.0,17846.0,163.0,36.0,-65.0,502.0,239.0
3753.0,1844.0,1012.0,2584.0,4525.0,11199.0,10614.0,4371.0,2040.0,8630.0,3250.0,1237.0,11689.0,10308.0,4742.0,2881.0,7910.0,3946.0,4061.0,1221.0,2647.0,3233.0,1467.0,5565.0,3589.0,5586.0,3959.0,5522.0,2686.0,227.0,3379.0,11146.0,6737.0,3005.0,4247.0,6205.0
1297.0,2815.0,5971.0,2789.0,6179.0,545.0,2035.0,4215.0,12358.0,2622.0,1405.0,2442.0,1132.0,1269.0,1962.0,1008.0,949.0,2776.0,2718.0,1775.0,1854.0,1371.0,5587.0,1410.0,2275.0,1750.0,7323.0,2900.0,6215.0,2172.0,13422.0,1576.0,1910.0,951.0,1169.0,1243.0
14964.0,13249.0,13748.0,10716.0,11557.0,19552.0,17094.0,10246.0,12386.0,7997.0,13064.0,12841.0,16647.0,18333.0,11832.0,14654.0,14010.0,11948.0,11234.0,14724.0,11254.0,13588.0,18298.0,13058.0,17646.0,10139.0,9610.0,18139.0,14675.0,12824.0,12353.0,13544.0,15409.0,10442.0,6945.0,7798.0
224.0,2339.0,249.0,-33.0,60.0,8.0,212.0,1060.0,782.0,169.0,7989.0,818.0,6418.0,2139.0,3817.0,223.0,1498.0,533.0,371.0,15700.0,-74.0,12226.0,807.0,7.0,24744.0,2733.0,335.0,191.0,-59.0,220.0,198.0,169.0,-17.0,-4.0,389.0,448.0
623.0,17279.0,28647.0,1268.0,15196.0,343.0,520.0,7.0,7955.0,217.0,851.0,25625.0,882.0,949.0,1302.0,827.0,678.0,2297.0,513.0,380.0,910.0,502.0,13464.0,782.0,2676.0,173.0,1255.0,1337.0,2270.0,4561.0,1676.0,575.0,478.0,627.0,330.0,703.0
4317.0,382.0,174.0,628.0,155.0,2805.0,5767.0,218.0,-14.0,9288.0,2559.0,314.0,5314.0,5354.0,4048.0,1813.0,5397.0,325.0,707.0,623.0,282.0,5070.0,711.0,9326.0,251.0,3403.0,1742.0,423.0,351.0,301.0,460.0,6101.0,3649.0,12968.0,11999.0,4896.0
10066.0,2799.0,2030.0,1236.0,2023.0,11.0,10737.0,8865.0,4664.0,3665.0,6392.0,1839.0,7070.0,9553.0,2033.0,3004.0,6563.0,1094.0,5736.0,1525.0,917.0,8681.0,1813.0,9059.0,2502.0,6753.0,5708.0,4988.0,5216.0,3220.0,4780.0,9475.0,4330.0,11027.0,9766.0,2854.0
16888.0,3650.0,1780.0,1032.0,10343.0,14610.0,17537.0,11030.0,15576.0,16424.0,10841.0,9902.0,13356.0,13769.0,21435.0,25969.0,22207.0,19502.0,6116.0,3670.0,1749.0,14158.0,5093.0,19748.0,943.0,16170.0,27467.0,1432.0,21350.0,16070.0,15270.0,15534.0,15787.0,21598.0,24948.0,12996.0
1128.0,6957.0,8964.0,416.0,7248.0,1912.0,2133.0,1150.0,10603.0,690.0,2450.0,10449.0,392.0,7972.0,140.0,1269.0,354.0,975.0,4401.0,3340.0,597.0,3711.0,8518.0,177.0,1285.0,283.0,5314.0,848.0,5178.0,5086.0,6371.0,2282.0,1232.0,33.0,155.0,348.0
1917.0,400.0,809.0,1798.0,6009.0,1762.0,3260.0,683.0,1720.0,56.0,4152.0,2507.0,11688.0,2597.0,3679.0,7592.0,41.0,5743.0,-694.0,1451.0,2222.0,16107.0,443.0,3215.0,807.0,3826.0,227.0,3119.0,1457.0,1615.0,904.0,2445.0,1845.0,12475.0,1681.0,3615.0
3310.0,917.0,744.0,8776.0,1264.0,892.0,1034.0,4848.0,1854.0,1491.0,783.0,1048.0,1208.0,1489.0,1104.0,976.0,716.0,1103.0,15383.0,1719.0,5585.0,1020.0,1048.0,1897.0,1147.0,721.0,1987.0,10739.0,1884.0,1795.0,3414.0,1510.0,2660.0,958.0,618.0,861.0
13146.0,820.0,715.0,3192.0,787.0,7292.0,8568.0,3574.0,4451.0,740.0,2372.0,678.0,4750.0,7453.0,13214.0,310.0,10404.0,346.0,1133.0,1356.0,1897.0,10295.0,461.0,9144.0,1294.0,4824.0,1276.0,2551.0,1863.0,2752.0,778.0,9009.0,5256.0,6199.0,2266.0,1288.0
-399.0,-146.0,-406.0,-1933.0,-250.0,-107.0,-342.0,-1274.0,-143.0,-1913.0,1475.0,-433.0,-730.0,-459.0,862.0,-947.0,-461.0,-1564.0,-358.0,18180.0,-876.0,893.0,-864.0,-526.0,8144.0,-141.0,-449.0,-753.0,-517.0,-704.0,-431.0,-167.0,-133.0,-415.0,-450.0,-134.0
2525.0,20459.0,127.0,301.0,20.0,118.0,29.0,282.0,17022.0,198.0,197.0,160.0,241.0,93.0,455.0,200.0,206.0,13968.0,5830.0,621.0,215.0,9270.0,8054.0,333.0,10043.0,11.0,322.0,445.0,9612.0,7229.0,593.0,257.0,38.0,741.0,16.0,236.0
11409.0,28067.0,11995.0,18957.0,13339.0,18407.0,14432.0,16172.0,25528.0,21601.0,4196.0,2155.0,16547.0,18660.0,17979.0,15865.0,12690.0,19018.0,15142.0,2188.0,14522.0,3771.0,23297.0,15009.0,7075.0,5589.0,27597.0,20595.0,23895.0,23373.0,26766.0,21714.0,17264.0,6824.0,7027.0,9880.0
4940.0,-440.0,-7.0,-591.0,-353.0,-17.0,151.0,-565.0,-761.0,-326.0,197.0,-112.0,-882.0,-448.0,365.0,-405.0,-440.0,-986.0,2151.0,804.0,28104.0,-316.0,54.0,153.0,-765.0,-186.0,189.0,14290.0,-595.0,-597.0,-124.0,-293.0,-279.0,103.0,-29.0,83.0
1006.0,-66.0,66.0,17495.0,-4.0,-212.0,-382.0,-766.0,-450.0,-353.0,-100.0,-302.0,-449.0,-177.0,145.0,-27.0,-115.0,-567.0,-134.0,-80.0,13526.0,-187.0,161.0,-44.0,-168.0,-249.0,-115.0,13158.0,-8.0,71.0,-314.0,-268.0,-330.0,70.0,-91.0,-37.0
12585.0,11621.0,14617.0,9752.0,12122.0,10260.0,12996.0,17349.0,8346.0,5917.0,4396.0,8024.0,8995.0,3407.0,13141.0,9516.0,3061.0,4148.0,3763.0,8930.0,6280.0,4503.0,15349.0,14339.0,3885.0,14648.0,4670.0,14781.0,10168.0,10668.0,10507.0,6606.0,5843.0,4596.0,10616.0,11079.0
